All-Genes	Pathways of gene
PIS1	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis // phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis // phosphatidylinositol biosynthesis II (eukaryotes)
PKC1	
PKH1	
PKH2	
PKH3	
PKP1	
PKP2	
PKR1	
PLB1	phospholipid remodeling (phosphatidylethanolamine)
PLB2	phospholipid remodeling (phosphatidylethanolamine)
PLB3	phospholipid remodeling (phosphatidylethanolamine)
PLC1	phospholipids degradation // inositol phosphate biosynthesis // D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis
PLM2	
PLN1	
PLP1	
PLP2	
PMA1	
PMA2	
PMC1	
PMD1	
PMI40	mannose degradation // dolichyl phosphate D-mannose biosynthesis // D-mannose degradation // GDP-mannose biosynthesis
PML1	
PML39	
PMP1	
PMP2	
PMP3	
PMR1	
PMS1	
PMT1	protein <I>O</i>-mannosylation I (yeast)
PMT2	protein <I>O</i>-mannosylation I (yeast)
PMT3	protein <I>O</i>-mannosylation I (yeast)
PMT4	protein <I>O</i>-mannosylation I (yeast)
PMT5	protein <I>O</i>-mannosylation I (yeast)
PMT6	
PMT7	
PMU1	
PNC1	NAD salvage pathway V (PNC V cycle)
PNG1	
PNO1	
PNP1	guanine and guanosine salvage // purine ribonucleosides degradation
PNS1	
PNT1	
POA1	tRNA splicing
POB3	
POC4	
POF1	NAD salvage pathway IV (from nicotinamide riboside)
POG1	
POL1	
POL12	
POL2	
POL3	
POL30	
POL31	
POL32	
POL4	
POL5	
POM152	
POM33	
POM34	
POP1	
POP2	
POP3	
POP4	
POP5	
POP6	
POP7	
POP8	
POR1	
POR2	
POS5	superpathway of NAD/NADP - NADH/NADPH interconversion (yeast) // NAD/NADP-NADH/NADPH cytosolic interconversion (yeast) // NAD/NADP-NADH/NADPH mitochondrial interconversion // NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
POT1	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate) // superpathway of ergosterol biosynthesis I // mevalonate pathway I // 10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent) // 9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
POX1	oleate &beta;-oxidation (isomerase-dependent) // 10-<i>cis</i>-heptadecenoyl-CoA degradation // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA degradation (isomerase-dependent) // fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent) // fatty acid &beta;-oxidation (peroxisome) // fatty acid oxidation (non-cyclic)
PPA2	
PPE1	
PPG1	
PPH21	
PPH22	
PPH3	
PPM1	
PPM2	wybutosine biosynthesis
PPN1	
PPN2	
PPQ1	
PPR1	
PPS1	
PPT1	
PPT2	acyl carrier protein activation
PPX1	
PPZ1	
PPZ2	
PRB1	
PRC1	glutathione-mediated detoxification II
PRD1	
PRE1	
PRE10	
PRE2	
PRE3	
PRE4	
PRE5	
PRE6	
PRE7	
PRE8	
PRE9	
PRI1	
PRI2	
PRK1	
PRM1	
PRM10	
PRM15	purine ribonucleosides degradation
PRM2	
PRM3	
PRM4	
PRM5	
PRM6	
PRM7	
PRM8	
PRM9	
PRO1	L-proline biosynthesis I (from L-glutamate)
PRO2	L-proline biosynthesis I (from L-glutamate)
PRO3	arginine degradation VI (arginase 2 pathway) // L-proline biosynthesis I (from L-glutamate)
PRP11	
PRP16	
PRP18	
PRP19	
PRP2	
PRP21	
PRP22	
PRP24	
PRP28	
PRP3	
PRP31	
PRP38	
PRP39	
PRP4	
PRP40	
PRP42	
PRP43	
PRP45	
PRP46	
PRP5	
PRP6	
PRP8	
PRP9	
PRR1	
PRR2	
PRS1	PRPP biosynthesis
PRS2	PRPP biosynthesis
PRS3	PRPP biosynthesis
PRS4	PRPP biosynthesis
PRS5	PRPP biosynthesis
PRT1	
PRX1	
PRY1	
PRY2	
PRY3	
PSA1	GDP-mannose biosynthesis
PSD1	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PSD2	phosphatidylserine and phosphatidylethanolamine biosynthesis I
PSE1	
PSF1	
PSF2	
PSF3	
PSG1	
PSH1	
PSK1	
PSK2	
PSO2	
PSP1	
PSP2	
PSR1	
PSR2	
PST1	
PST2	
PSY2	
PSY3	
PSY4	
PTA1	
PTC1	
PTC2	
PTC3	
PTC4	
PTC5	
PTC6	
PTC7	
PTH1	
PTH2	
PTH4	
PTI1	
PTK1	
PTK2	
PTM1	
PTP1	
PTP2	
PTP3	
PTR2	
PTR3	
PUB1	
PUF2	
PUF3	
PUF4	
PUF6	
PUG1	
PUL3	
PUL4	
PUN1	
PUP1	
PUP2	
PUP3	
PUS1	
PUS2	
PUS4	
PUS5	
PUS6	
PUS7	
PUS9	
PUT1	proline degradation
PUT2	proline degradation
PUT3	
PUT4	
PWP1	
PWP2	
PWR1	
PXA1	
PXA2	
PXL1	
PXP1	oxalate degradation VI
PXP2	
PXR1	
PYC1	gluconeogenesis // aspartate biosynthesis
PYC2	gluconeogenesis // aspartate biosynthesis
PYK2	glycolysis // glycolysis III (from glucose)
PYP1	
PZF1	
Q0255	
QCR10	aerobic respiration I (cytochrome c)
QCR2	aerobic respiration I (cytochrome c)
QCR6	aerobic respiration I (cytochrome c)
QCR7	aerobic respiration I (cytochrome c)
QCR8	aerobic respiration I (cytochrome c)
QCR9	aerobic respiration I (cytochrome c)
QDR1	
QDR2	
QDR3	
QNS1	NAD <i>de novo</i> biosynthesis II (from tryptophan) // NAD salvage pathway V (PNC V cycle) // NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde
QRI1	chitin biosynthesis // UDP-N-acetylglucosamine biosynthesis // UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II
QRI5	
QRI7	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
RAD1	
RAD10	
RAD14	
RAD16	protein ubiquitination
RAD17	
RAD18	protein ubiquitination
RAD2	
RAD23	
RAD24	
RAD26	
RAD27	
RAD28	
RAD3	
RAD30	
RAD33	
RAD34	
RAD4	
RAD5	
RAD50	
RAD51	
RAD52	
RAD53	
RAD54	
RAD55	
RAD57	
RAD59	
RAD6	protein ubiquitination
RAD61	
RAD7	protein ubiquitination
RAD9	
RAI1	
RAM1	
RAM2	
RAP1	
RAS1	
RAS2	
RAT1	
RAV1	
RAV2	
RAX1	
RAX2	
RBA50	
RBD2	
RBG1	
RBG2	
RBH1	
RBH2	
RBK1	
RBL2	
RBS1	
RCE1	
RCF1	
RCF2	
RCF3	
RCH1	
RCI37	
RCI50	
RCK1	
RCK2	
RCL1	
RCM1	
RCN1	
RCN2	
RCO1	
RCR1	
RCR2	
RCY1	
RDH54	
RDI1	
RDL1	thiosulfate disproportionation III (rhodanese)
RDL2	thiosulfate disproportionation I (thiol-dependent)
RDN18-1	
RDN18-2	
RDN25-1	
RDN25-2	
RDN37-1	
RDN37-2	
RDN5-1	
RDN5-2	
RDN5-3	
RDN5-4	
RDN5-5	
RDN5-6	
RDN58-1	
RDN58-2	
RDR1	
RDS1	
RDS2	
RDS3	
RDT1	
REA1	
REB1	
REC102	
REC104	
REC107	
REC114	
REC8	
RED1	
REE1	
REF2	
REG1	
REG2	
REH1	
REI1	
RER1	
RER2	dolichol and dolichyl phosphate biosynthesis
RET1	
RET2	
RET3	
REV1	
REV3	
REV7	
REX2	
REX3	
REX4	
RFA1	
RFA2	
RFA3	
RFC1	
RFC2	
RFC3	
RFC4	
RFC5	
RFM1	NAD salvage pathway V (PNC V cycle)
RFS1	
RFT1	
RFU1	
RFX1	
RGA1	
RGA2	
RGC1	
RGD1	
RGD2	
RGI1	
RGI2	
RGL1	
RGM1	
RGP1	
RGR1	
RGS2	
RGT1	
RGT2	
RHB1	
RHO1	1,3-&beta;-D-glucan biosynthesis
RHO2	
RHO3	
RHO4	
RHO5	
RIA1	
RIB1	flavin biosynthesis III (fungi)
RIB2	flavin biosynthesis III (fungi)
RIB3	flavin biosynthesis III (fungi)
RIB4	flavin biosynthesis III (fungi)
RIB5	flavin biosynthesis III (fungi)
RIB7	flavin biosynthesis III (fungi)
RIC1	
RIE1	
RIF1	
RIF2	
RIM1	
RIM101	
RIM11	
RIM13	
RIM15	
RIM2	
RIM20	
RIM21	
RIM4	
RIM8	
RIM9	
RIO1	
RIO2	
RIP1	aerobic respiration I (cytochrome c)
RIT1	
RIX1	
RIX7	
RKI1	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
RKM1	
RKM2	
RKM3	
RKM4	
RKM5	
RKR1	protein ubiquitination
RLF2	
RLI1	
RLM1	
RLP24	
RLP7	
RMA1	folate polyglutamylation
RMD1	
RMD5	
RMD6	
RMD8	
RMD9	
RME1	
RME2	
RME3	
RMI1	
RML2	
RMP1	
RMR1	
RMT2	
RNA1	
RNA14	
RNA15	
RNA170	
RNH1	
RNH201	
RNH202	
RNH203	
RNH70	
RNP1	
RNQ1	
RNR1	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP
RNR2	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP
RNR3	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP
RNR4	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // superpathway of purine nucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotides biosynthesis from CTP
RNT1	
RNY1	
ROD1	
ROF1	
ROG1	
ROG3	
ROK1	
ROM1	
ROM2	
ROQ1	
ROT1	
ROT2	protein <i>N</i>-glycosylation (yeast) processing in the ER
ROX1	
ROX3	
ROY1	
RPA12	
RPA135	
RPA14	
RPA190	
RPA34	
RPA43	
RPA49	
RPB10	
RPB11	
RPB2	
RPB3	
RPB4	
RPB5	
RPB7	
RPB8	
RPB9	
RPC10	
RPC11	
RPC17	
RPC19	
RPC25	
RPC31	
RPC34	
RPC37	
RPC40	
RPC53	
RPC82	
RPD3	
RPE1	pentose phosphate pathway // pentose phosphate pathway (non-oxidative branch)
RPF1	
RPF2	
RPG1	
RPH1	
RPI1	
RPL10	
RPL11A	
RPL11B	
RPL12A	
RPL12B	
RPL13A	
RPL13B	
RPL14A	
RPL14B	
RPL15A	
RPL15B	
RPL16A	
RPL16B	
RPL17A	
RPL17B	
RPL18A	
RPL18B	
RPL19A	
RPL19B	
RPL1A	
RPL1B	
RPL20A	
RPL20B	
RPL21A	
RPL21B	
RPL22A	
RPL22B	
RPL23A	
RPL23B	
RPL24A	
RPL24B	
RPL25	
RPL26A	
RPL26B	
RPL27A	
RPL27B	
RPL28	
RPL29	
RPL2A	
RPL2B	
RPL3	
RPL30	
RPL31A	
RPL31B	
RPL32	
RPL33A	
RPL33B	
RPL34A	
RPL34B	
RPL35A	
RPL35B	
RPL36A	
RPL36B	
RPL37A	
RPL37B	
RPL38	
RPL39	
RPL40A	
RPL40B	
RPL41A	
RPL41B	
RPL42A	
RPL42B	
RPL43A	
RPL43B	
RPL4A	
RPL4B	
RPL5	
RPL6A	
RPL6B	
RPL7A	
RPL7B	
RPL8A	
RPL8B	
RPL9A	
RPL9B	
RPM1	
RPM2	
RPN1	
RPN10	
RPN11	
RPN12	
RPN13	
RPN14	
RPN2	
RPN3	
RPN4	
RPN5	
RPN6	
RPN7	
RPN8	
RPN9	
RPO21	
RPO26	
RPO31	
RPO41	
RPP0	
RPP1	
RPP1A	
RPP1B	
RPP2A	
RPP2B	
RPR1	
RPR2	
RPS0A	
RPS0B	
RPS10A	
RPS10B	
RPS11A	
RPS11B	
RPS12	
RPS13	
RPS14A	
RPS14B	
RPS15	
RPS16A	
RPS16B	
RPS17A	
RPS17B	
RPS18A	
RPS18B	
RPS19A	
RPS19B	
RPS1A	
RPS1B	
RPS2	
RPS20	
RPS21A	
RPS21B	
RPS22A	
RPS22B	
RPS23A	
RPS23B	
RPS24A	
RPS24B	
RPS25A	
RPS25B	
RPS26A	
RPS26B	
RPS27A	
RPS27B	
RPS28A	
RPS28B	
RPS29A	
RPS29B	
RPS3	
RPS30A	
RPS30B	
RPS31	
RPS4A	
RPS4B	
RPS5	
RPS6A	
RPS6B	
RPS7A	
RPS7B	
RPS8A	
RPS8B	
RPS9A	
RPS9B	
RPT1	
RPT2	
RPT3	
RPT4	
RPT5	
RPT6	
RQC1	
RQC2	
RQT4	
RRB1	
RRD1	
RRD2	
RRF1	
RRG1	
RRG7	
RRG8	
RRG9	
RRI1	
RRI2	
RRM3	
RRN10	
RRN11	
RRN3	
RRN5	
RRN6	
RRN7	
RRN9	
RRP1	
RRP12	
RRP14	
RRP15	
RRP17	
RRP3	
RRP36	
RRP4	
RRP40	
RRP42	
RRP43	
RRP45	
RRP46	
RRP5	
RRP6	
RRP7	
RRP8	
RRP9	
RRS1	
RRT1	
RRT12	
RRT13	
RRT14	
RRT15	
RRT2	diphthamide biosynthesis
RRT5	
RRT6	
RRT7	
RRT8	
RSA1	
RSA3	
RSA4	
RSB1	
RSC1	
RSC2	
RSC3	
RSC30	
RSC4	
RSC58	
RSC6	
RSC8	
RSC9	
RSE1	
RSF1	
RSF2	
RSM10	
RSM18	
RSM19	
RSM22	
RSM23	
RSM24	
RSM25	
RSM26	
RSM27	
RSM28	
RSM7	
RSN1	
RSO55	
RSP5	protein ubiquitination
RSR1	
RTA1	
RTC1	
RTC2	
RTC3	
RTC4	
RTC5	
RTC6	
RTF1	
RTG1	
RTG2	
RTG3	
RTK1	
RTN1	
RTN2	
RTP1	
RTR1	
RTR2	
RTS1	
RTS2	
RTS3	
RTT10	
RTT101	protein NEDDylation // protein ubiquitination
RTT102	
RTT103	
RTT105	
RTT106	
RTT107	protein ubiquitination
RTT109	
RUB1	
RUD3	
RUF20	
RUF21	
RUF22	
RUF23	
RUF5-1	
RUF5-2	
RUP1	
RVB1	
RVB2	
RVS161	
RVS167	
RXT2	
RXT3	
SAC1	sphingolipid biosynthesis (yeast)
SAC3	
SAC6	
SAC7	
SAD1	
SAE2	
SAE3	
SAF1	protein ubiquitination
SAG1	
SAH1	L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II
SAK1	
SAL1	
SAM1	S-adenosyl-L-methionine biosynthesis // L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II
SAM2	S-adenosyl-L-methionine biosynthesis // L-methionine degradation I (to L-homocysteine) // <i>S</i>-adenosyl-L-methionine salvage II
SAM3	
SAM35	
SAM37	
SAM4	
SAM50	
SAN1	
SAP1	
SAP155	
SAP185	
SAP190	
SAP30	
SAP4	
SAR1	
SAS10	
SAS2	
SAS3	
SAS4	
SAS5	
SAT4	
SAW1	
SAY1	
SBA1	
SBE2	
SBE22	
SBH1	
SBH2	
SBP1	
SCC2	
SCC4	
SCD5	
SCD6	
SCEI	
SCH9	
SCJ1	
SCL1	
SCM3	
SCM4	
SCO1	
SCO2	
SCP1	
SCP160	
SCR1	
SCS2	
SCS22	
SCS3	
SCS7	sphingolipid biosynthesis (yeast)
SCT1	phosphatidate biosynthesis I (the dihydroxyacetone pathway) // superpathway phosphatidate biosynthesis (yeast) // phosphatidylglycerol biosynthesis II (non-plastidic) // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // CDP-diacylglycerol biosynthesis I // triacylglycerol biosynthesis
SCW10	
SCW11	
SCW4	
SCY1	
SDA1	
SDC1	
SDD1	
SDD2	
SDD3	
SDD4	
SDH1	aerobic respiration I (cytochrome c)
SDH2	aerobic respiration I (cytochrome c)
SDH3	aerobic respiration I (cytochrome c)
SDH4	aerobic respiration I (cytochrome c)
SDH5	
SDH6	
SDH7	
SDH8	
SDO1	
SDP1	
SDS22	
SDS23	
SDS24	
SDS3	
SDT1	
SEA4	
SEC1	
SEC10	
SEC11	
SEC12	
SEC13	
SEC14	
SEC15	
SEC16	
SEC17	
SEC18	
SEC2	
SEC20	
SEC21	
SEC22	
SEC23	
SEC24	
SEC26	
SEC27	
SEC28	
SEC3	
SEC31	
SEC39	
SEC4	
SEC5	
SEC53	dolichyl phosphate D-mannose biosynthesis // GDP-mannose biosynthesis
SEC59	dolichol and dolichyl phosphate biosynthesis
SEC6	
SEC61	
SEC62	
SEC63	
SEC65	
SEC66	
SEC7	
SEC72	
SEC8	
SEC9	
SED1	
SED4	
SED5	
SEF1	
SEG1	
SEG2	
SEH1	
SEI1	
SEM1	
SEN1	
SEN15	tRNA splicing
SEN2	tRNA splicing
SEN34	tRNA splicing
SEN54	tRNA splicing
SEO1	
SER1	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I
SER2	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I
SER3	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I
SER33	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I
SES1	tRNA charging
SET1	
SET2	
SET3	NAD salvage pathway V (PNC V cycle)
SET4	
SET5	
SET6	
SEY1	
SFA1	protein <i>S</i>-nitrosylation and denitrosylation // L-methionine degradation III // tryptophan degradation VIII (to tryptophol) // L-phenylalanine degradation III // leucine degradation // leucine degradation III // valine degradation // isoleucine degradation II // formaldehyde oxidation II (glutathione-dependent) // formaldehyde oxidation II (glutathione-dependent)
SFB2	
SFB3	
SFC1	
SFG1	
SFH1	
SFH5	
SFI1	
SFK1	
SFL1	
SFM1	
SFP1	
SFT1	
SFT2	
SGA1	glycogen degradation II
SGD1	
SGE1	
SGF11	
SGF29	
SGF73	
SGM1	
SGN1	
SGO1	
SGS1	
SGT1	
SGT2	
SGV1	
SHB17	
SHC1	
SHE1	
SHE10	
SHE2	
SHE3	
SHE4	
SHE9	
SHG1	
SHH3	
SHH4	
SHM1	superpathway of L-serine and glycine biosynthesis I // serine biosynthesis from glyoxylate // glycine biosynthesis I // folate interconversions // dTMP <i>de novo</i> biosynthesis (mitochondrial) // folate polyglutamylation // folate transformations I
SHM2	superpathway of L-serine and glycine biosynthesis I // serine biosynthesis from glyoxylate // glycine biosynthesis I // folate interconversions // dTMP <i>de novo</i> biosynthesis (mitochondrial) // folate polyglutamylation // folate transformations I
SHO1	
SHP1	
SHQ1	
SHR3	
SHR5	
SHS1	
SHU1	
SHU2	
SHY1	
SIA1	
SIC1	
SIF2	NAD salvage pathway V (PNC V cycle)
SIL1	
SIM1	
SIN3	
SIN4	
SIP1	
SIP18	
SIP2	
SIP3	
SIP4	
SIP5	
SIR1	
SIR2	NAD salvage pathway V (PNC V cycle)
SIR3	
SIR4	
SIS1	
SIS2	coenzyme A biosynthesis II (eukaryotic)
SIT1	
SIT4	
SIW14	
SIZ1	
SKG1	
SKG3	
SKG6	
SKI2	
SKI3	
SKI6	
SKI7	
SKI8	
SKM1	
SKN1	
SKN7	
SKO1	
SKP1	protein ubiquitination
SKP2	
SKS1	
SKT5	
SKY1	
SLA1	
SLA2	
SLC1	superpathway phosphatidate biosynthesis (yeast) // phospholipid remodeling (phosphatidate) // phosphatidylglycerol biosynthesis II (non-plastidic) // CDP-diacylglycerol biosynthesis I // triacylglycerol biosynthesis // phosphatidate biosynthesis II (the glycerol-3-phosphate pathway) // phosphatidate biosynthesis I (the dihydroxyacetone pathway)
SLD2	
SLD3	
SLD5	
SLD7	
SLF1	
SLG1	
SLH1	
SLI1	
SLI15	
SLK19	
SLM1	
SLM2	
SLM3	tRNA-uridine 2-thiolation (yeast mitochondria)
SLM4	
SLM5	tRNA charging
SLM6	
SLN1	
SLO1	
SLP1	
SLS1	
SLT2	
SLU7	
SLX1	
SLX4	
SLX5	protein ubiquitination
SLX8	protein ubiquitination
SLX9	
SLY1	
SLY41	
SLZ1	
SMA1	
SMA2	
SMB1	
SMC1	
SMC2	
SMC3	
SMC4	
SMC5	
SMC6	
SMD1	
SMD2	
SMD3	
SME1	
SMF1	
SMF2	
SMF3	
SMI1	
SMK1	
SML1	
SMM1	
SMP1	
SMP3	
SMT3	
SMX2	
SMX3	
SMY1	
SMY2	
SNA2	
SNA3	
SNA4	
SNC1	
SNC2	
SND1	
SND2	
SND3	
SNF1	
SNF11	
SNF12	
SNF2	
SNF3	
SNF4	
SNF5	
SNF6	
SNF7	
SNF8	
SNG1	
SNL1	
SNM1	
SNN1	
SNO1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SNO2	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SNO3	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SNO4	
SNP1	
SNQ2	
SNR10	
SNR11	
SNR128	
SNR13	
SNR14	
SNR161	
SNR17A	
SNR17B	
SNR18	
SNR189	
SNR19	
SNR190	
SNR191	
SNR24	
SNR3	
SNR30	
SNR31	
SNR32	
SNR33	
SNR34	
SNR35	
SNR36	
SNR37	
SNR38	
SNR39	
SNR39B	
SNR4	
SNR40	
SNR41	
SNR42	
SNR43	
SNR44	
SNR45	
SNR46	
SNR47	
SNR48	
SNR49	
SNR5	
SNR50	
SNR51	
SNR52	
SNR53	
SNR54	
SNR55	
SNR56	
SNR57	
SNR58	
SNR59	
SNR6	
SNR60	
SNR61	
SNR62	
SNR63	
SNR64	
SNR65	
SNR66	
SNR67	
SNR68	
SNR69	
SNR7-L	
SNR7-S	
SNR70	
SNR71	
SNR72	
SNR73	
SNR74	
SNR75	
SNR76	
SNR77	
SNR78	
SNR79	
SNR8	
SNR80	
SNR81	
SNR82	
SNR83	
SNR84	
SNR85	
SNR86	
SNR87	
SNR9	
SNT1	NAD salvage pathway V (PNC V cycle)
SNT2	
SNT309	
SNU114	
SNU13	
SNU23	
SNU56	
SNU66	
SNU71	
SNX3	
SNX4	
SNX41	
SNZ1	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SNZ2	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SNZ3	glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // pyridoxal 5'-phosphate biosynthesis II
SOA1	
SOD1	reactive oxygen species degradation // superoxide radicals degradation
SOD2	reactive oxygen species degradation // superoxide radicals degradation
SOE1	tRNA charging
SOF1	
SOG2	
SOH1	
SOK1	
SOK2	
SOL1	
SOL2	
SOL3	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I
SOL4	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I
SOM1	
SOP4	
SOR1	sorbitol degradation
SOR2	sorbitol degradation
SOV1	
SPA2	
SPB1	
SPB4	
SPC1	
SPC105	
SPC110	
SPC19	
SPC2	
SPC24	
SPC25	
SPC29	
SPC3	
SPC34	
SPC42	
SPC72	
SPC97	
SPC98	
SPE1	putrescine biosynthesis III
SPE2	spermidine biosynthesis I // spermine and methylthioadenosine biosynthesis
SPE3	spermidine biosynthesis I
SPE4	spermine and methylthioadenosine biosynthesis
SPF1	
SPG1	
SPG3	
SPG4	
SPG5	
SPH1	
SPI1	
SPL2	
SPN1	
SPO1	
SPO11	
SPO12	
SPO13	
SPO14	phospholipids degradation // choline biosynthesis III
SPO16	
SPO19	
SPO20	
SPO21	
SPO22	
SPO23	
SPO24	
SPO7	
SPO71	
SPO73	
SPO74	
SPO75	
SPO77	
SPP1	
SPP2	
SPP381	
SPP382	
SPP41	
SPR1	
SPR2	
SPR28	
SPR3	
SPR6	
SPS1	
SPS100	
SPS18	
SPS19	oleate &beta;-oxidation (reductase-dependent) // 10-<i>trans</i>-heptadecenoyl-CoA degradation (reductase-dependent) // 10-<i>cis</i>-heptadecenoyl-CoA degradation // fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)
SPS2	
SPS22	
SPS4	
SPT10	
SPT14	
SPT15	
SPT16	
SPT2	
SPT20	
SPT21	
SPT23	
SPT3	
SPT4	
SPT5	
SPT6	
SPT7	
SPT8	
SQS1	
SQT1	
SRB2	
SRB4	
SRB5	
SRB6	
SRB7	
SRB8	
SRC1	
SRD1	
SRF1	
SRG1	
SRL1	
SRL2	
SRL3	
SRL4	
SRM1	
SRN2	
SRO7	
SRO77	
SRO9	
SRP1	
SRP101	
SRP102	
SRP14	
SRP21	
SRP40	
SRP54	
SRP68	
SRP72	
SRS2	
SRT1	dolichol and dolichyl phosphate biosynthesis
SRV2	
SRX1	
SRY1	
SSA1	
SSA2	
SSA3	
SSA4	
SSB1	
SSB2	
SSC1	
SSD1	
SSE1	
SSE2	
SSF1	
SSF2	
SSH1	
SSH4	
SSK1	
SSK2	
SSK22	
SSL1	
SSL2	
SSM4	protein ubiquitination
SSN2	
SSN3	
SSN8	
SSO1	
SSO2	
SSP1	
SSP120	
SSP2	
SSQ1	iron-sulfur cluster biosynthesis
SSS1	
SST2	
SSU1	
SSU72	
SSY1	
SSY5	
SSZ1	
STB1	
STB2	
STB3	
STB4	
STB5	
STB6	
STD1	
STE11	
STE12	
STE13	
STE14	
STE18	
STE2	
STE20	
STE23	
STE24	
STE3	
STE4	
STE5	
STE50	
STE6	
STE7	
STF1	
STF2	
STH1	
STI1	
STL1	
STM1	
STN1	
STO1	
STP1	
STP2	
STP22	
STP3	
STP4	
STR2	superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion
STR3	glutathione-mediated detoxification II // glutathione-mediated detoxification I // superpathway of L-cysteine biosynthesis (fungi) // superpathway of sulfur amino acid biosynthesis (<i>Saccharomyces cerevisiae</i>) // homocysteine and cysteine interconversion
STS1	
STT3	protein <i>N</i>-glycosylation (eukaryotic) initial steps
STT4	D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis // phosphatidylinositol phosphate biosynthesis // 3-phosphoinositide biosynthesis
STU1	
STU2	
STV1	
SUA5	N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis
SUA7	
SUB1	
SUB2	
SUC2	sucrose degradation III
SUE1	
SUF1	
SUF10	
SUF11	
SUF16	tRNA charging
SUF17	
SUF2	tRNA charging
SUF20	
SUF23	
SUF3	tRNA charging
SUF4	
SUF5	
SUF6	
SUF7	
SUF8	
SUF9	
SUI1	
SUI2	
SUI3	
SUL1	
SUL2	
SUM1	NAD salvage pathway V (PNC V cycle)
SUN4	
SUP11	
SUP16	
